Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","ha","800","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2000","2000","t","500","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","ha","960","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2001","2001","t","600","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","ha","1120","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2002","2002","t","700","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","ha","1280","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2003","2003","t","800","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","ha","1440","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2004","2004","t","900","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","ha","1600","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","kg/ha","625","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2005","2005","t","1000","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2006","2006","ha","1760","E","Estimated value",""
