-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,10.5,33.5,21.93,23.45,25.34,21.48,19.07,18.36,17.66,17.8,18.88,19.78,21.21,21.01,20.5
ALLSKY_SFC_SW_DWN,2000,10.5,34.5,21.52,23.12,24.95,20.9,19.83,18.94,16.71,17.17,18.75,18.69,20.81,20.97,20.2
ALLSKY_SFC_SW_DWN,2000,10.5,35.5,21.68,23.6,25.1,21.28,21.05,19.78,16.8,17.35,19.56,18.39,20.77,20.7,20.51
ALLSKY_SFC_SW_DWN,2000,10.5,36.5,21.49,23.23,24.59,21.39,21.34,19.53,16.74,16.57,19.4,18.47,20.92,20.43,20.34
ALLSKY_SFC_SW_DWN,2000,10.5,37.5,22.38,24.45,25.11,20.66,22.31,20.03,17.41,16.54,19.84,19.04,20.26,21.04,20.76
ALLSKY_SFC_SW_DWN,2000,10.5,38.5,23.22,25.85,26.64,23.14,23.09,21.61,19.25,17.53,20.9,21.57,21.53,21.8,22.18
ALLSKY_SFC_SW_DWN,2000,10.5,39.5,23.49,26.0,26.81,23.02,23.23,21.52,19.79,17.25,20.33,20.44,21.0,21.09,22.0
ALLSKY_SFC_SW_DWN,2000,10.5,40.5,22.46,25.09,26.06,25.09,24.72,24.34,22.7,21.63,22.74,21.64,21.01,20.3,23.15
ALLSKY_SFC_SW_DWN,2000,10.5,41.5,23.11,25.82,26.86,25.67,25.43,24.43,23.48,23.26,23.19,22.79,22.32,21.25,23.97
ALLSKY_SFC_SW_DWN,2000,10.5,42.5,22.95,25.63,26.58,25.54,25.23,24.51,23.17,23.12,22.5,23.4,22.2,21.5,23.86
ALLSKY_SFC_SW_DWN,2000,11.5,33.5,21.54,23.11,24.95,21.72,20.72,20.76,18.54,17.8,19.18,20.54,21.55,20.7,20.93
ALLSKY_SFC_SW_DWN,2000,11.5,34.5,21.15,23.49,24.89,21.69,21.5,20.71,18.22,17.63,19.57,20.39,20.82,20.64,20.89
ALLSKY_SFC_SW_DWN,2000,11.5,35.5,21.56,23.55,25.05,22.21,23.61,21.58,17.68,17.62,19.53,19.82,20.82,20.3,21.11
ALLSKY_SFC_SW_DWN,2000,11.5,36.5,21.27,23.26,24.48,21.1,22.93,20.35,17.92,17.16,19.26,17.8,20.68,20.99,20.6
ALLSKY_SFC_SW_DWN,2000,11.5,37.5,22.7,24.46,25.55,21.84,23.57,20.91,19.08,17.8,20.79,19.8,21.22,21.25,21.58
ALLSKY_SFC_SW_DWN,2000,11.5,38.5,22.54,24.79,25.88,21.58,22.96,20.74,19.44,18.01,20.71,20.6,20.67,20.95,21.57
ALLSKY_SFC_SW_DWN,2000,11.5,39.5,22.79,25.15,26.14,22.45,23.38,22.21,20.5,19.31,20.59,19.57,20.67,19.6,21.86
ALLSKY_SFC_SW_DWN,2000,11.5,40.5,21.44,24.27,25.61,24.75,24.64,23.44,22.68,22.28,21.67,21.38,20.83,19.27,22.69
ALLSKY_SFC_SW_DWN,2000,11.5,41.5,21.77,24.32,25.55,25.14,25.16,24.29,23.37,23.04,21.82,21.96,21.35,20.1,23.16
ALLSKY_SFC_SW_DWN,2000,11.5,42.5,21.28,24.06,25.53,24.71,24.26,23.99,22.56,23.09,21.26,22.2,21.01,19.66,22.8
ALLSKY_SFC_SW_DWN,2000,3.5,33.5,23.11,24.18,23.21,20.39,20.55,19.43,19.52,19.77,22.32,19.8,19.68,19.49,20.95
