-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2023 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,10.0,33.125,29.43,30.45,32.17,32.27,29.56,29.35,26.47,26.4,27.63,27.78,30.72,29.22,29.29
T2M,2000,10.0,33.75,29.71,30.91,32.69,31.42,28.65,27.87,25.21,24.97,26.1,26.36,29.03,29.43,28.53
T2M,2000,10.0,34.375,25.7,27.99,29.96,27.93,25.53,24.34,21.79,21.71,22.51,22.89,24.6,25.28,25.02
T2M,2000,10.0,35.0,23.26,25.62,27.93,25.21,23.97,22.55,20.02,20.31,20.81,20.99,22.41,22.71,22.98
T2M,2000,10.0,35.625,25.55,27.51,30.29,27.37,26.21,24.73,22.08,22.59,22.91,22.84,24.38,24.81,25.11
T2M,2000,10.0,36.25,21.32,23.36,26.19,24.03,22.89,20.96,18.95,19.5,19.96,20.02,20.24,20.39,21.48
T2M,2000,10.0,36.875,18.76,21.08,23.87,21.77,21.51,18.89,16.96,17.47,18.01,18.17,17.73,18.07,19.36
T2M,2000,10.0,37.5,20.19,22.63,25.36,23.7,24.06,20.86,18.43,18.91,19.75,20.06,19.56,20.13,21.14
T2M,2000,10.0,38.125,19.74,22.07,23.76,22.02,24.29,21.81,17.9,17.92,18.78,19.62,19.65,20.36,20.66
T2M,2000,10.0,38.75,17.98,19.94,21.47,20.71,22.81,21.33,17.22,17.12,18.57,18.58,18.19,18.44,19.36
T2M,2000,10.0,39.375,14.29,15.68,17.0,16.85,19.0,19.59,15.95,15.69,16.26,15.4,14.45,14.43,16.22
T2M,2000,10.0,40.0,19.61,20.87,22.47,23.01,25.79,26.63,23.47,22.69,22.52,21.75,20.27,19.46,22.38
T2M,2000,10.0,40.625,24.81,26.07,27.98,29.18,31.81,32.72,29.78,28.85,29.47,29.27,26.41,25.24,28.47
T2M,2000,10.0,41.25,24.24,25.49,27.41,28.87,31.14,32.29,29.69,28.5,29.3,28.77,25.79,24.67,28.01
T2M,2000,10.0,41.875,23.64,24.91,26.83,28.57,30.28,31.19,29.33,28.01,28.89,28.05,25.2,23.99,27.41
T2M,2000,10.0,42.5,21.63,22.98,24.67,26.47,27.54,28.07,26.46,25.32,26.31,25.42,22.96,21.77,24.97
T2M,2000,10.5,33.125,28.44,29.41,31.29,32.84,30.23,29.78,26.36,26.15,27.58,27.85,30.36,28.27,29.05
T2M,2000,10.5,33.75,29.08,30.32,32.12,32.27,29.23,28.38,25.02,24.68,26.11,26.74,29.66,29.06,28.56
T2M,2000,10.5,34.375,25.63,27.8,29.71,29.29,26.57,25.36,22.06,21.87,22.89,23.64,25.93,25.76,25.54
T2M,2000,10.5,35.0,25.88,28.08,30.76,29.08,27.52,26.13,22.75,22.75,23.41,23.74,25.78,25.72,25.97
T2M,2000,10.5,35.625,20.26,21.93,24.74,23.13,22.36,20.85,18.6,19.05,19.48,19.64,19.91,19.53,20.79
T2M,2000,10.5,36.25,21.83,24.08,26.79,24.5,23.49,21.29,19.01,19.43,20.12,20.33,20.36,20.6,21.82
T2M,2000,10.5,36.875,19.44,21.86,24.66,22.59,22.46,19.52,17.36,17.84,18.52,18.56,17.92,18.31,19.92
T2M,2000,10.5,37.5,15.87,18.01,20.8,19.1,20.24,17.61,15.17,15.38,15.96,15.9,15.03,15.34,17.03
T2M,2000,10.5,38.125,15.43,17.61,19.48,17.55,20.22,18.86,15.43,15.19,15.95,15.58,14.92,15.67,16.82
T2M,2000,10.5,38.75,19.43,20.86,22.42,21.62,23.9,22.96,18.64,18.45,19.74,20.08,19.52,19.64,20.61
T2M,2000,10.5,39.375,13.45,14.99,16.51,15.95,18.12,19.03,15.6,14.9,15.08,14.43,13.6,13.81,15.46
T2M,2000,10.5,40.0,18.18,19.36,20.89,21.65,24.48,25.69,22.45,21.25,21.18,20.37,18.92,18.16,21.05
T2M,2000,10.5,40.625,24.74,25.95,27.93,29.47,32.29,33.35,30.69,29.03,29.35,29.27,26.65,25.2,28.66
T2M,2000,10.5,41.25,24.48,25.67,27.69,29.48,32.13,33.52,30.97,29.13,29.83,29.36,26.49,25.0,28.65
T2M,2000,10.5,41.875,23.57,24.72,26.66,28.97,31.54,33.04,31.02,29.08,30.07,28.86,25.48,24.05,28.09
T2M,2000,10.5,42.5,21.58,22.74,24.55,27.27,29.69,31.19,29.6,27.95,28.97,26.79,23.33,22.01,26.31
T2M,2000,11.0,33.125,27.06,28.03,30.0,32.67,30.65,30.34,26.55,26.19,27.54,27.88,29.56,26.9,28.61
T2M,2000,11.0,33.75,27.6,28.87,30.76,31.99,29.56,29.15,25.18,24.74,26.16,26.99,29.16,27.66,28.15
