Domain,Area,Element,Item,Year,Unit,Value
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1993","tonnes of active ingredients","242"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1994","tonnes of active ingredients","242"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1995","tonnes of active ingredients","242"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1996","tonnes of active ingredients","383"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1997","tonnes of active ingredients","383"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1998","tonnes of active ingredients","383"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","1999","tonnes of active ingredients","492.5"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2000","tonnes of active ingredients","602"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2001","tonnes of active ingredients","630"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2002","tonnes of active ingredients","822.67"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2003","tonnes of active ingredients","1015.35"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2004","tonnes of active ingredients","1208.03"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2005","tonnes of active ingredients","1400.7"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2006","tonnes of active ingredients","2603.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2007","tonnes of active ingredients","2593.9"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2008","tonnes of active ingredients","2270.6"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2009","tonnes of active ingredients","3699.2"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2010","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2011","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2012","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2013","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2014","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2015","tonnes of active ingredients","4128.1"
"Pesticides Use","Ethiopia","Use","Pesticides (total)","2016","tonnes of active ingredients","4128.1"
