 Area,Year,average_rain_fall_mm_per_year
Ethiopia,1985,848
Ethiopia,1986,848
Ethiopia,1987,848
Ethiopia,1989,848
Ethiopia,1990,848
Ethiopia,1991,848
Ethiopia,1992,848
Ethiopia,1993,848
Ethiopia,1994,848
Ethiopia,1995,848
Ethiopia,1996,848
Ethiopia,1997,848
Ethiopia,1998,848
Ethiopia,1999,848
Ethiopia,2000,848
Ethiopia,2001,848
Ethiopia,2002,848
Ethiopia,2004,848
Ethiopia,2005,848
Ethiopia,2006,848
Ethiopia,2007,848
Ethiopia,2008,848
Ethiopia,2009,848
Ethiopia,2010,848
Ethiopia,2011,848
Ethiopia,2012,848
Ethiopia,2013,848
Ethiopia,2014,848
Ethiopia,2015,848
Ethiopia,2016,848
Ethiopia,2017,848
