Area,Crop,Year,Area_Harvested,Production,Yield
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2000,800.0,500.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2001,960.0,600.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2002,1120.0,700.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2003,1280.0,800.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2004,1440.0,900.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2005,1600.0,1000.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2006,1760.0,1100.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2007,1920.0,1200.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2008,2400.0,1500.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2009,2960.0,1850.0,625.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2010,3241.0,2228.3,687.5
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,3565.0,2599.26,729.1
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2012,3500.0,2800.0,800.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2013,3550.0,2800.0,788.7
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2014,6700.0,5400.0,806.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2015,5900.0,4700.0,796.6
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2016,6000.0,4800.0,800.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2017,6200.0,4966.67,801.1
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2018,6033.0,4822.22,799.3
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,6078.0,4862.96,800.1
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,6104.0,4883.95,800.2
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,6072.0,4856.38,799.9
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,6084.0,4867.76,800.0
Ethiopia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,6087.0,4869.36,800.0
Ethiopia,Avocados,2000,9754.0,78032.0,8000.0
Ethiopia,Avocados,2001,2414.0,13888.0,5753.1
Ethiopia,Avocados,2002,2600.0,15000.0,5769.2
Ethiopia,Avocados,2003,2938.0,17201.0,5854.7
Ethiopia,Avocados,2004,3248.0,16740.0,5153.9
Ethiopia,Avocados,2005,3596.0,28348.0,7883.2
Ethiopia,Avocados,2006,4716.0,34845.0,7388.7
Ethiopia,Avocados,2007,6473.0,42849.0,6619.7
Ethiopia,Avocados,2008,5067.0,32452.0,6404.6
Ethiopia,Avocados,2009,5694.0,37651.0,6612.4
Ethiopia,Avocados,2010,7212.0,57299.0,7945.0
Ethiopia,Avocados,2011,9024.0,73097.0,8100.3
Ethiopia,Avocados,2012,8938.0,25633.0,2867.9
Ethiopia,Avocados,2013,10590.0,18206.0,1719.2
Ethiopia,Avocados,2014,13798.0,53698.0,3891.7
Ethiopia,Avocados,2015,13665.0,59331.43,4341.7
Ethiopia,Avocados,2016,17835.0,64982.0,3643.5
Ethiopia,Avocados,2017,18021.0,81431.76,4518.7
Ethiopia,Avocados,2018,19759.0,84793.65,4291.4
Ethiopia,Avocados,2019,20908.0,104491.92,4997.8
Ethiopia,Avocados,2020,30588.0,245335.63,8020.7
Ethiopia,Avocados,2021,27435.0,193400.0,7049.4
Ethiopia,Avocados,2022,27299.0,161292.03,5908.3
Ethiopia,Avocados,2023,29206.0,167556.71,5737.1
Ethiopia,Bananas,2000,15000.0,100000.0,6666.7
Ethiopia,Bananas,2001,21268.0,122372.0,5753.8
Ethiopia,Bananas,2002,29000.0,170000.0,5862.1
Ethiopia,Bananas,2003,29083.0,175150.0,6022.4
Ethiopia,Bananas,2004,28695.0,181829.0,6336.6
Ethiopia,Bananas,2005,28102.0,211450.0,7524.4
Ethiopia,Bananas,2006,30429.0,227942.0,7490.9
Ethiopia,Bananas,2007,39426.0,261059.0,6621.5
Ethiopia,Bananas,2008,29064.0,194333.0,6686.4
Ethiopia,Bananas,2009,29409.0,208596.0,7092.9
Ethiopia,Bananas,2010,31886.0,270572.0,8485.6
Ethiopia,Bananas,2011,35869.0,291258.0,8120.0
Ethiopia,Bananas,2012,36012.0,302502.0,8400.0
Ethiopia,Bananas,2013,41357.0,340012.0,8221.4
Ethiopia,Bananas,2014,53956.0,478251.0,8863.7
Ethiopia,Bananas,2015,53689.0,485165.01,9036.7
Ethiopia,Bananas,2016,63213.0,538302.0,8515.7
Ethiopia,Bananas,2017,59298.0,493602.23,8324.1
Ethiopia,Bananas,2018,66081.0,501528.63,7589.6
Ethiopia,Bananas,2019,67387.0,539442.65,8005.1
Ethiopia,Bananas,2020,95954.0,898354.82,9362.3
Ethiopia,Bananas,2021,87202.0,1354800.0,15536.3
Ethiopia,Bananas,2022,108741.0,1192664.84,10967.9
Ethiopia,Bananas,2023,77503.0,938021.06,12103.0
Ethiopia,Barley,2000,880360.0,803904.0,913.2
Ethiopia,Barley,2001,938010.0,1016940.0,1084.1
Ethiopia,Barley,2002,821383.0,1183541.0,1440.9
Ethiopia,Barley,2003,1075437.0,1087373.0,1011.1
Ethiopia,Barley,2004,1254786.0,1375522.0,1096.2
Ethiopia,Barley,2005,1208631.0,1398395.0,1157.0
Ethiopia,Barley,2006,997868.0,1409688.0,1412.7
Ethiopia,Barley,2007,1126664.0,1466999.86,1302.1
Ethiopia,Barley,2008,1180258.0,1595487.12,1351.8
Ethiopia,Barley,2009,1300448.0,1900898.77,1461.7
Ethiopia,Barley,2010,1206698.0,1814163.08,1503.4
Ethiopia,Barley,2011,1095974.0,1668385.61,1522.3
Ethiopia,Barley,2012,1190750.0,1901811.48,1597.2
Ethiopia,Barley,2013,1203252.0,2048188.7,1702.2
Ethiopia,Barley,2014,1166061.0,2060731.22,1767.3
Ethiopia,Barley,2015,1133655.0,2054374.8,1812.2
Ethiopia,Barley,2016,1171213.0,2221068.41,1896.4
Ethiopia,Barley,2017,1014198.0,1960276.39,1932.8
Ethiopia,Barley,2018,800195.0,1748919.58,2185.6
Ethiopia,Barley,2019,950742.0,2378010.29,2501.2
Ethiopia,Barley,2020,897016.0,2261264.52,2520.9
Ethiopia,Barley,2021,799128.0,2071800.0,2592.6
Ethiopia,Barley,2022,983000.0,2184000.0,2221.8
Ethiopia,Barley,2023,980000.0,2450000.0,2500.0
Ethiopia,"Beans, dry",2000,218940.0,147210.0,672.4
Ethiopia,"Beans, dry",2001,336900.0,210961.0,626.2
Ethiopia,"Beans, dry",2002,206771.0,98674.0,477.2
Ethiopia,"Beans, dry",2003,181583.0,117499.0,647.1
Ethiopia,"Beans, dry",2004,240963.0,172153.0,714.4
Ethiopia,"Beans, dry",2005,241000.0,211347.0,877.0
Ethiopia,"Beans, dry",2006,163687.0,138422.0,845.7
Ethiopia,"Beans, dry",2007,409811.0,326678.93,797.1
Ethiopia,"Beans, dry",2008,427817.0,409104.07,956.3
Ethiopia,"Beans, dry",2009,415858.0,509612.56,1225.4
Ethiopia,"Beans, dry",2010,429051.0,438825.8,1022.8
Ethiopia,"Beans, dry",2011,583078.0,509697.33,874.1
Ethiopia,"Beans, dry",2012,610860.0,613088.3,1003.6
Ethiopia,"Beans, dry",2013,592738.0,597564.5,1008.1
Ethiopia,"Beans, dry",2014,563531.0,658954.02,1169.3
Ethiopia,"Beans, dry",2015,740053.0,899943.91,1216.1
Ethiopia,"Beans, dry",2016,709341.0,869847.0,1226.3
Ethiopia,"Beans, dry",2017,688470.0,825422.66,1198.9
Ethiopia,"Beans, dry",2018,332518.0,563921.52,1695.9
Ethiopia,"Beans, dry",2019,281083.0,485547.09,1727.4
Ethiopia,"Beans, dry",2020,311584.0,552564.0,1773.4
Ethiopia,"Beans, dry",2021,339349.0,584158.0,1721.4
Ethiopia,"Beans, dry",2022,372452.0,621905.32,1669.8
Ethiopia,"Beans, dry",2023,371488.0,616857.83,1660.5
Ethiopia,"Broad beans and horse beans, dry",2000,362430.0,389343.0,1074.3
Ethiopia,"Broad beans and horse beans, dry",2001,433350.0,453841.0,1047.3
Ethiopia,"Broad beans and horse beans, dry",2002,371670.0,453125.0,1219.2
Ethiopia,"Broad beans and horse beans, dry",2003,439198.0,430196.0,979.5
Ethiopia,"Broad beans and horse beans, dry",2004,465334.0,551984.0,1186.2
Ethiopia,"Broad beans and horse beans, dry",2005,460577.0,516180.0,1120.7
Ethiopia,"Broad beans and horse beans, dry",2006,427719.0,599128.0,1400.8
Ethiopia,"Broad beans and horse beans, dry",2007,524399.0,691089.19,1317.9
Ethiopia,"Broad beans and horse beans, dry",2008,544562.0,698883.08,1283.4
Ethiopia,"Broad beans and horse beans, dry",2009,513468.0,611633.62,1191.2
Ethiopia,"Broad beans and horse beans, dry",2010,463091.0,699647.63,1510.8
Ethiopia,"Broad beans and horse beans, dry",2011,458596.0,714918.02,1558.9
Ethiopia,"Broad beans and horse beans, dry",2012,575152.0,944354.21,1641.9
Ethiopia,"Broad beans and horse beans, dry",2013,541823.0,993018.49,1832.7
Ethiopia,"Broad beans and horse beans, dry",2014,446822.0,840470.79,1881.0
Ethiopia,"Broad beans and horse beans, dry",2015,448293.0,853576.62,1904.1
Ethiopia,"Broad beans and horse beans, dry",2016,427697.0,878010.0,2052.9
Ethiopia,"Broad beans and horse beans, dry",2017,437106.0,921761.54,2108.8
Ethiopia,"Broad beans and horse beans, dry",2018,492272.0,1041953.51,2116.6
Ethiopia,"Broad beans and horse beans, dry",2019,466698.0,1006751.83,2157.2
Ethiopia,"Broad beans and horse beans, dry",2020,504570.0,1070636.54,2121.9
Ethiopia,"Broad beans and horse beans, dry",2021,520552.0,1091609.0,2097.0
Ethiopia,"Broad beans and horse beans, dry",2022,517223.0,1112650.9,2151.2
Ethiopia,"Broad beans and horse beans, dry",2023,516978.0,1156021.69,2236.1
Ethiopia,"Broad beans and horse beans, green",2000,550.0,2500.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2001,660.0,3000.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2002,770.0,3500.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2003,880.0,4000.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2004,990.0,4500.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2005,1100.0,5000.0,4545.5
Ethiopia,"Broad beans and horse beans, green",2006,1158.0,5268.39,4548.0
Ethiopia,"Broad beans and horse beans, green",2007,1150.0,5200.0,4521.7
Ethiopia,"Broad beans and horse beans, green",2008,1308.0,6137.08,4690.6
Ethiopia,"Broad beans and horse beans, green",2009,1351.0,7425.87,5497.2
Ethiopia,"Broad beans and horse beans, green",2010,1402.0,8351.97,5958.3
Ethiopia,"Broad beans and horse beans, green",2011,1445.0,9280.98,6423.7
Ethiopia,"Broad beans and horse beans, green",2012,1500.0,10600.0,7066.7
Ethiopia,"Broad beans and horse beans, green",2013,1500.0,10600.0,7066.7
Ethiopia,"Broad beans and horse beans, green",2014,1512.0,10865.2,7186.5
Ethiopia,"Broad beans and horse beans, green",2015,1586.0,12081.92,7617.4
Ethiopia,"Broad beans and horse beans, green",2016,1533.0,11182.37,7296.0
Ethiopia,"Broad beans and horse beans, green",2017,1579.0,11511.63,7290.9
