YEAR,LAT,LON,Month,Precipitation,Date
2000,10.0,33.125,1,0.0,2000-01-01
2000,10.0,33.75,1,0.02,2000-01-01
2000,10.0,34.375,1,0.05,2000-01-01
2000,10.0,35.0,1,0.04,2000-01-01
2000,10.0,35.625,1,0.01,2000-01-01
2000,10.0,36.25,1,0.01,2000-01-01
2000,10.0,36.875,1,0.05,2000-01-01
2000,10.0,37.5,1,0.06,2000-01-01
2000,10.0,38.125,1,0.09,2000-01-01
2000,10.0,38.75,1,0.04,2000-01-01
2000,10.0,39.375,1,0.01,2000-01-01
2000,10.0,40.0,1,0.0,2000-01-01
2000,10.0,40.625,1,0.0,2000-01-01
2000,10.0,41.25,1,0.01,2000-01-01
2000,10.0,41.875,1,0.01,2000-01-01
2000,10.0,42.5,1,0.01,2000-01-01
2000,10.5,33.125,1,0.0,2000-01-01
2000,10.5,33.75,1,0.0,2000-01-01
2000,10.5,34.375,1,0.0,2000-01-01
2000,10.5,35.0,1,0.01,2000-01-01
2000,10.5,35.625,1,0.02,2000-01-01
2000,10.5,36.25,1,0.01,2000-01-01
2000,10.5,36.875,1,0.01,2000-01-01
2000,10.5,37.5,1,0.01,2000-01-01
2000,10.5,38.125,1,0.0,2000-01-01
2000,10.5,38.75,1,0.0,2000-01-01
2000,10.5,39.375,1,0.0,2000-01-01
2000,10.5,40.0,1,0.0,2000-01-01
2000,10.5,40.625,1,0.0,2000-01-01
2000,10.5,41.25,1,0.0,2000-01-01
2000,10.5,41.875,1,0.01,2000-01-01
2000,10.5,42.5,1,0.01,2000-01-01
2000,11.0,33.125,1,0.0,2000-01-01
2000,11.0,33.75,1,0.0,2000-01-01
2000,11.0,34.375,1,0.0,2000-01-01
2000,11.0,35.0,1,0.01,2000-01-01
2000,11.0,35.625,1,0.03,2000-01-01
2000,11.0,36.25,1,0.01,2000-01-01
2000,11.0,36.875,1,0.01,2000-01-01
2000,11.0,37.5,1,0.0,2000-01-01
