YEAR,LAT,LON,Month,Solar_Radiation,Date
2000,10.5,33.5,1,21.93,2000-01-01
2000,10.5,34.5,1,21.52,2000-01-01
2000,10.5,35.5,1,21.68,2000-01-01
2000,10.5,36.5,1,21.49,2000-01-01
2000,10.5,37.5,1,22.38,2000-01-01
2000,10.5,38.5,1,23.22,2000-01-01
2000,10.5,39.5,1,23.49,2000-01-01
2000,10.5,40.5,1,22.46,2000-01-01
2000,10.5,41.5,1,23.11,2000-01-01
2000,10.5,42.5,1,22.95,2000-01-01
2000,11.5,33.5,1,21.54,2000-01-01
2000,11.5,34.5,1,21.15,2000-01-01
2000,11.5,35.5,1,21.56,2000-01-01
2000,11.5,36.5,1,21.27,2000-01-01
2000,11.5,37.5,1,22.7,2000-01-01
2000,11.5,38.5,1,22.54,2000-01-01
2000,11.5,39.5,1,22.79,2000-01-01
2000,11.5,40.5,1,21.44,2000-01-01
2000,11.5,41.5,1,21.77,2000-01-01
2000,11.5,42.5,1,21.28,2000-01-01
2000,3.5,33.5,1,23.11,2000-01-01
2000,3.5,34.5,1,24.35,2000-01-01
2000,3.5,35.5,1,24.87,2000-01-01
2000,3.5,36.5,1,25.08,2000-01-01
2000,3.5,37.5,1,24.85,2000-01-01
2000,3.5,38.5,1,24.55,2000-01-01
2000,3.5,39.5,1,24.66,2000-01-01
2000,3.5,40.5,1,24.52,2000-01-01
2000,3.5,41.5,1,24.44,2000-01-01
2000,3.5,42.5,1,24.6,2000-01-01
2000,4.5,33.5,1,23.01,2000-01-01
2000,4.5,34.5,1,23.57,2000-01-01
2000,4.5,35.5,1,24.14,2000-01-01
2000,4.5,36.5,1,23.92,2000-01-01
2000,4.5,37.5,1,24.71,2000-01-01
2000,4.5,38.5,1,25.03,2000-01-01
2000,4.5,39.5,1,24.7,2000-01-01
2000,4.5,40.5,1,24.56,2000-01-01
2000,4.5,41.5,1,24.38,2000-01-01
2000,4.5,42.5,1,24.79,2000-01-01
2000,5.5,33.5,1,23.01,2000-01-01
2000,5.5,34.5,1,22.6,2000-01-01
2000,5.5,35.5,1,23.97,2000-01-01
2000,5.5,36.5,1,23.63,2000-01-01
2000,5.5,37.5,1,24.15,2000-01-01
2000,5.5,38.5,1,24.41,2000-01-01
2000,5.5,39.5,1,24.2,2000-01-01
2000,5.5,40.5,1,24.79,2000-01-01
2000,5.5,41.5,1,24.33,2000-01-01
2000,5.5,42.5,1,24.49,2000-01-01
2000,6.5,33.5,1,20.65,2000-01-01
2000,6.5,34.5,1,20.33,2000-01-01
2000,6.5,35.5,1,21.64,2000-01-01
2000,6.5,36.5,1,22.42,2000-01-01
2000,6.5,37.5,1,23.79,2000-01-01
2000,6.5,38.5,1,23.73,2000-01-01
2000,6.5,39.5,1,23.46,2000-01-01
2000,6.5,40.5,1,24.37,2000-01-01
2000,6.5,41.5,1,24.69,2000-01-01
2000,6.5,42.5,1,24.16,2000-01-01
2000,7.5,33.5,1,19.21,2000-01-01
2000,7.5,34.5,1,19.4,2000-01-01
2000,7.5,35.5,1,19.65,2000-01-01
2000,7.5,36.5,1,21.71,2000-01-01
2000,7.5,37.5,1,23.33,2000-01-01
2000,7.5,38.5,1,24.31,2000-01-01
2000,7.5,39.5,1,23.08,2000-01-01
2000,7.5,40.5,1,23.56,2000-01-01
2000,7.5,41.5,1,24.39,2000-01-01
2000,7.5,42.5,1,24.28,2000-01-01
2000,8.5,33.5,1,20.1,2000-01-01
2000,8.5,34.5,1,20.19,2000-01-01
2000,8.5,35.5,1,20.86,2000-01-01
2000,8.5,36.5,1,21.66,2000-01-01
2000,8.5,37.5,1,22.67,2000-01-01
2000,8.5,38.5,1,24.17,2000-01-01
2000,8.5,39.5,1,23.76,2000-01-01
2000,8.5,40.5,1,23.3,2000-01-01
2000,8.5,41.5,1,23.23,2000-01-01
2000,8.5,42.5,1,24.06,2000-01-01
2000,9.5,33.5,1,21.02,2000-01-01
2000,9.5,34.5,1,20.59,2000-01-01
2000,9.5,35.5,1,21.49,2000-01-01
2000,9.5,36.5,1,21.69,2000-01-01
2000,9.5,37.5,1,21.89,2000-01-01
2000,9.5,38.5,1,23.2,2000-01-01
2000,9.5,39.5,1,23.95,2000-01-01
2000,9.5,40.5,1,23.42,2000-01-01
2000,9.5,41.5,1,24.0,2000-01-01
2000,9.5,42.5,1,23.75,2000-01-01
2001,10.5,33.5,1,22.17,2001-01-01
2001,10.5,34.5,1,21.93,2001-01-01
2001,10.5,35.5,1,21.7,2001-01-01
2001,10.5,36.5,1,21.36,2001-01-01
2001,10.5,37.5,1,21.24,2001-01-01
2001,10.5,38.5,1,21.72,2001-01-01
2001,10.5,39.5,1,20.44,2001-01-01
2001,10.5,40.5,1,19.09,2001-01-01
2001,10.5,41.5,1,21.01,2001-01-01
2001,10.5,42.5,1,21.78,2001-01-01
2001,11.5,33.5,1,21.62,2001-01-01
2001,11.5,34.5,1,21.67,2001-01-01
2001,11.5,35.5,1,21.86,2001-01-01
2001,11.5,36.5,1,21.36,2001-01-01
2001,11.5,37.5,1,21.57,2001-01-01
2001,11.5,38.5,1,21.76,2001-01-01
2001,11.5,39.5,1,19.51,2001-01-01
2001,11.5,40.5,1,18.45,2001-01-01
2001,11.5,41.5,1,19.51,2001-01-01
2001,11.5,42.5,1,19.68,2001-01-01
2001,3.5,33.5,1,20.14,2001-01-01
2001,3.5,34.5,1,20.46,2001-01-01
2001,3.5,35.5,1,21.23,2001-01-01
2001,3.5,36.5,1,21.64,2001-01-01
2001,3.5,37.5,1,21.89,2001-01-01
2001,3.5,38.5,1,22.79,2001-01-01
2001,3.5,39.5,1,23.61,2001-01-01
2001,3.5,40.5,1,24.33,2001-01-01
2001,3.5,41.5,1,24.56,2001-01-01
2001,3.5,42.5,1,24.43,2001-01-01
2001,4.5,33.5,1,20.36,2001-01-01
2001,4.5,34.5,1,20.04,2001-01-01
2001,4.5,35.5,1,20.67,2001-01-01
2001,4.5,36.5,1,20.53,2001-01-01
2001,4.5,37.5,1,20.97,2001-01-01
2001,4.5,38.5,1,22.73,2001-01-01
2001,4.5,39.5,1,23.74,2001-01-01
2001,4.5,40.5,1,23.91,2001-01-01
2001,4.5,41.5,1,24.09,2001-01-01
2001,4.5,42.5,1,24.35,2001-01-01
2001,5.5,33.5,1,20.8,2001-01-01
2001,5.5,34.5,1,20.13,2001-01-01
2001,5.5,35.5,1,19.6,2001-01-01
2001,5.5,36.5,1,19.09,2001-01-01
2001,5.5,37.5,1,20.4,2001-01-01
2001,5.5,38.5,1,22.18,2001-01-01
2001,5.5,39.5,1,23.21,2001-01-01
2001,5.5,40.5,1,23.84,2001-01-01
2001,5.5,41.5,1,23.9,2001-01-01
2001,5.5,42.5,1,24.16,2001-01-01
2001,6.5,33.5,1,20.51,2001-01-01
2001,6.5,34.5,1,19.52,2001-01-01
2001,6.5,35.5,1,17.6,2001-01-01
2001,6.5,36.5,1,17.57,2001-01-01
2001,6.5,37.5,1,19.4,2001-01-01
2001,6.5,38.5,1,20.76,2001-01-01
2001,6.5,39.5,1,21.6,2001-01-01
2001,6.5,40.5,1,23.13,2001-01-01
2001,6.5,41.5,1,24.11,2001-01-01
2001,6.5,42.5,1,23.89,2001-01-01
2001,7.5,33.5,1,20.01,2001-01-01
2001,7.5,34.5,1,19.59,2001-01-01
2001,7.5,35.5,1,17.89,2001-01-01
2001,7.5,36.5,1,17.34,2001-01-01
2001,7.5,37.5,1,18.8,2001-01-01
2001,7.5,38.5,1,21.65,2001-01-01
2001,7.5,39.5,1,20.51,2001-01-01
2001,7.5,40.5,1,22.65,2001-01-01
2001,7.5,41.5,1,23.51,2001-01-01
2001,7.5,42.5,1,23.7,2001-01-01
2001,8.5,33.5,1,20.53,2001-01-01
2001,8.5,34.5,1,20.49,2001-01-01
2001,8.5,35.5,1,20.49,2001-01-01
2001,8.5,36.5,1,20.44,2001-01-01
2001,8.5,37.5,1,20.2,2001-01-01
2001,8.5,38.5,1,20.78,2001-01-01
2001,8.5,39.5,1,20.93,2001-01-01
2001,8.5,40.5,1,21.8,2001-01-01
2001,8.5,41.5,1,22.55,2001-01-01
2001,8.5,42.5,1,22.78,2001-01-01
2001,9.5,33.5,1,21.44,2001-01-01
2001,9.5,34.5,1,20.97,2001-01-01
2001,9.5,35.5,1,21.23,2001-01-01
2001,9.5,36.5,1,21.14,2001-01-01
2001,9.5,37.5,1,20.98,2001-01-01
2001,9.5,38.5,1,20.76,2001-01-01
2001,9.5,39.5,1,20.41,2001-01-01
2001,9.5,40.5,1,20.67,2001-01-01
2001,9.5,41.5,1,21.45,2001-01-01
2001,9.5,42.5,1,22.64,2001-01-01
2002,10.5,33.5,1,21.36,2002-01-01
2002,10.5,34.5,1,20.93,2002-01-01
2002,10.5,35.5,1,20.72,2002-01-01
2002,10.5,36.5,1,19.99,2002-01-01
2002,10.5,37.5,1,19.58,2002-01-01
2002,10.5,38.5,1,20.03,2002-01-01
2002,10.5,39.5,1,18.98,2002-01-01
2002,10.5,40.5,1,17.61,2002-01-01
2002,10.5,41.5,1,19.98,2002-01-01
2002,10.5,42.5,1,20.38,2002-01-01
2002,11.5,33.5,1,21.09,2002-01-01
2002,11.5,34.5,1,21.16,2002-01-01
2002,11.5,35.5,1,21.21,2002-01-01
2002,11.5,36.5,1,20.44,2002-01-01
2002,11.5,37.5,1,20.06,2002-01-01
2002,11.5,38.5,1,19.81,2002-01-01
2002,11.5,39.5,1,17.7,2002-01-01
2002,11.5,40.5,1,16.9,2002-01-01
2002,11.5,41.5,1,18.65,2002-01-01
2002,11.5,42.5,1,18.27,2002-01-01
2002,3.5,33.5,1,20.21,2002-01-01
2002,3.5,34.5,1,21.06,2002-01-01
2002,3.5,35.5,1,22.72,2002-01-01
2002,3.5,36.5,1,23.16,2002-01-01
2002,3.5,37.5,1,23.09,2002-01-01
2002,3.5,38.5,1,22.3,2002-01-01
2002,3.5,39.5,1,22.36,2002-01-01
2002,3.5,40.5,1,23.11,2002-01-01
2002,3.5,41.5,1,23.87,2002-01-01
2002,3.5,42.5,1,23.69,2002-01-01
2002,4.5,33.5,1,20.19,2002-01-01
2002,4.5,34.5,1,20.08,2002-01-01
2002,4.5,35.5,1,21.34,2002-01-01
2002,4.5,36.5,1,21.69,2002-01-01
2002,4.5,37.5,1,22.15,2002-01-01
2002,4.5,38.5,1,22.31,2002-01-01
2002,4.5,39.5,1,22.55,2002-01-01
2002,4.5,40.5,1,22.61,2002-01-01
2002,4.5,41.5,1,23.49,2002-01-01
2002,4.5,42.5,1,23.75,2002-01-01
2002,5.5,33.5,1,20.13,2002-01-01
2002,5.5,34.5,1,19.61,2002-01-01
2002,5.5,35.5,1,19.97,2002-01-01
2002,5.5,36.5,1,20.34,2002-01-01
2002,5.5,37.5,1,20.81,2002-01-01
2002,5.5,38.5,1,21.58,2002-01-01
2002,5.5,39.5,1,21.69,2002-01-01
2002,5.5,40.5,1,22.65,2002-01-01
2002,5.5,41.5,1,23.0,2002-01-01
2002,5.5,42.5,1,23.4,2002-01-01
2002,6.5,33.5,1,19.35,2002-01-01
2002,6.5,34.5,1,18.52,2002-01-01
2002,6.5,35.5,1,17.76,2002-01-01
2002,6.5,36.5,1,18.68,2002-01-01
2002,6.5,37.5,1,20.41,2002-01-01
2002,6.5,38.5,1,20.49,2002-01-01
2002,6.5,39.5,1,20.27,2002-01-01
2002,6.5,40.5,1,21.07,2002-01-01
2002,6.5,41.5,1,22.73,2002-01-01
2002,6.5,42.5,1,23.03,2002-01-01
2002,7.5,33.5,1,18.74,2002-01-01
2002,7.5,34.5,1,18.27,2002-01-01
2002,7.5,35.5,1,16.96,2002-01-01
2002,7.5,36.5,1,17.34,2002-01-01
2002,7.5,37.5,1,19.15,2002-01-01
2002,7.5,38.5,1,20.5,2002-01-01
2002,7.5,39.5,1,20.24,2002-01-01
2002,7.5,40.5,1,20.52,2002-01-01
2002,7.5,41.5,1,21.8,2002-01-01
2002,7.5,42.5,1,22.37,2002-01-01
2002,8.5,33.5,1,19.29,2002-01-01
2002,8.5,34.5,1,19.07,2002-01-01
2002,8.5,35.5,1,18.68,2002-01-01
2002,8.5,36.5,1,18.92,2002-01-01
2002,8.5,37.5,1,19.56,2002-01-01
2002,8.5,38.5,1,19.47,2002-01-01
