YEAR,LAT,LON,Month,Temperature,Date
2000,10.0,33.125,1,29.43,2000-01-01
2000,10.0,33.75,1,29.71,2000-01-01
2000,10.0,34.375,1,25.7,2000-01-01
2000,10.0,35.0,1,23.26,2000-01-01
2000,10.0,35.625,1,25.55,2000-01-01
2000,10.0,36.25,1,21.32,2000-01-01
2000,10.0,36.875,1,18.76,2000-01-01
2000,10.0,37.5,1,20.19,2000-01-01
2000,10.0,38.125,1,19.74,2000-01-01
2000,10.0,38.75,1,17.98,2000-01-01
2000,10.0,39.375,1,14.29,2000-01-01
2000,10.0,40.0,1,19.61,2000-01-01
2000,10.0,40.625,1,24.81,2000-01-01
2000,10.0,41.25,1,24.24,2000-01-01
2000,10.0,41.875,1,23.64,2000-01-01
2000,10.0,42.5,1,21.63,2000-01-01
2000,10.5,33.125,1,28.44,2000-01-01
2000,10.5,33.75,1,29.08,2000-01-01
2000,10.5,34.375,1,25.63,2000-01-01
2000,10.5,35.0,1,25.88,2000-01-01
2000,10.5,35.625,1,20.26,2000-01-01
2000,10.5,36.25,1,21.83,2000-01-01
2000,10.5,36.875,1,19.44,2000-01-01
2000,10.5,37.5,1,15.87,2000-01-01
2000,10.5,38.125,1,15.43,2000-01-01
2000,10.5,38.75,1,19.43,2000-01-01
2000,10.5,39.375,1,13.45,2000-01-01
2000,10.5,40.0,1,18.18,2000-01-01
2000,10.5,40.625,1,24.74,2000-01-01
2000,10.5,41.25,1,24.48,2000-01-01
2000,10.5,41.875,1,23.57,2000-01-01
2000,10.5,42.5,1,21.58,2000-01-01
2000,11.0,33.125,1,27.06,2000-01-01
2000,11.0,33.75,1,27.6,2000-01-01
2000,11.0,34.375,1,26.38,2000-01-01
2000,11.0,35.0,1,27.14,2000-01-01
2000,11.0,35.625,1,24.27,2000-01-01
2000,11.0,36.25,1,22.89,2000-01-01
2000,11.0,36.875,1,16.65,2000-01-01
2000,11.0,37.5,1,16.02,2000-01-01
2000,11.0,38.125,1,17.15,2000-01-01
2000,11.0,38.75,1,18.13,2000-01-01
2000,11.0,39.375,1,12.17,2000-01-01
2000,11.0,40.0,1,19.67,2000-01-01
2000,11.0,40.625,1,24.57,2000-01-01
2000,11.0,41.25,1,24.58,2000-01-01
2000,11.0,41.875,1,24.6,2000-01-01
2000,11.0,42.5,1,22.02,2000-01-01
2000,11.5,33.125,1,25.46,2000-01-01
2000,11.5,33.75,1,26.17,2000-01-01
2000,11.5,34.375,1,27.57,2000-01-01
2000,11.5,35.0,1,27.76,2000-01-01
2000,11.5,35.625,1,27.03,2000-01-01
2000,11.5,36.25,1,24.04,2000-01-01
2000,11.5,36.875,1,18.42,2000-01-01
2000,11.5,37.5,1,18.12,2000-01-01
2000,11.5,38.125,1,17.13,2000-01-01
2000,11.5,38.75,1,19.44,2000-01-01
2000,11.5,39.375,1,14.15,2000-01-01
2000,11.5,40.0,1,20.89,2000-01-01
2000,11.5,40.625,1,24.48,2000-01-01
2000,11.5,41.25,1,24.81,2000-01-01
2000,11.5,41.875,1,24.12,2000-01-01
2000,11.5,42.5,1,23.14,2000-01-01
2000,12.0,33.125,1,25.16,2000-01-01
2000,12.0,33.75,1,25.61,2000-01-01
2000,12.0,34.375,1,27.6,2000-01-01
2000,12.0,35.0,1,28.27,2000-01-01
2000,12.0,35.625,1,27.97,2000-01-01
2000,12.0,36.25,1,25.76,2000-01-01
2000,12.0,36.875,1,20.21,2000-01-01
2000,12.0,37.5,1,20.55,2000-01-01
2000,12.0,38.125,1,17.61,2000-01-01
2000,12.0,38.75,1,17.56,2000-01-01
2000,12.0,39.375,1,13.08,2000-01-01
2000,12.0,40.0,1,22.31,2000-01-01
2000,12.0,40.625,1,24.28,2000-01-01
2000,12.0,41.25,1,24.79,2000-01-01
2000,12.0,41.875,1,24.08,2000-01-01
2000,12.0,42.5,1,22.22,2000-01-01
2000,3.0,33.125,1,27.57,2000-01-01
2000,3.0,33.75,1,25.87,2000-01-01
2000,3.0,34.375,1,24.23,2000-01-01
2000,3.0,35.0,1,26.52,2000-01-01
2000,3.0,35.625,1,29.14,2000-01-01
2000,3.0,36.25,1,29.77,2000-01-01
2000,3.0,36.875,1,28.62,2000-01-01
2000,3.0,37.5,1,28.8,2000-01-01
2000,3.0,38.125,1,27.75,2000-01-01
2000,3.0,38.75,1,27.9,2000-01-01
2000,3.0,39.375,1,27.53,2000-01-01
2000,3.0,40.0,1,26.94,2000-01-01
2000,3.0,40.625,1,27.32,2000-01-01
2000,3.0,41.25,1,28.1,2000-01-01
2000,3.0,41.875,1,27.82,2000-01-01
2000,3.0,42.5,1,29.46,2000-01-01
2000,3.5,33.125,1,27.01,2000-01-01
2000,3.5,33.75,1,24.79,2000-01-01
2000,3.5,34.375,1,24.34,2000-01-01
2000,3.5,35.0,1,27.97,2000-01-01
2000,3.5,35.625,1,29.28,2000-01-01
2000,3.5,36.25,1,29.46,2000-01-01
2000,3.5,36.875,1,29.22,2000-01-01
2000,3.5,37.5,1,28.32,2000-01-01
2000,3.5,38.125,1,26.98,2000-01-01
2000,3.5,38.75,1,26.78,2000-01-01
