YEAR,Temperature
2000,24.219794407894735
2001,24.2402576754386
2002,24.66956962719298
2003,24.660509868421055
2004,24.621598135964913
2005,24.504284539473684
2006,23.942768640350877
2007,23.810452302631578
2008,23.909931469298243
2009,24.535254934210528
2010,24.03391721491228
2011,24.257423245614035
2012,23.94925438596491
2013,23.693497807017547
2014,23.76984923245614
2015,24.190512609649122
2016,24.006293859649123
2017,24.018426535087716
2018,23.772184758771928
2019,24.261724232456142
2020,23.548656798245617
2021,23.701219846491227
2022,23.84128289473684
2023,23.89610471491228
