Year,NDVI
2000,0.4000366126062417
2001,0.4013978629736657
2002,0.4005337405195422
2003,0.40596110176049266
2004,0.4054728818795264
2005,0.40746611730240273
2006,0.4192054550436593
2007,0.4227144484991257
2008,0.39463152277297225
2009,0.39222081932265346
2010,0.409681764639884
2011,0.4036922310212352
2012,0.4002515753260196
2013,0.41250611946012733
2014,0.41450523725000493
2015,0.4073719097704716
2016,0.4017307415655542
2017,0.40420814818327994
2018,0.4222797822941539
2019,0.4323547434514863
2020,0.4496177103483849
2021,0.4171582996912342
2022,0.3997945404576315
2023,0.3377687776668285
