Year,Yield,NDVI,SolarRadiation,Temperature,Precipitation,Years_Since_2000,Decade,Crop_Avocados,Crop_Bananas,Crop_Barley,Crop_Cabbages,Crop_Cereals n.e.c.,"Crop_Coffee, green",Crop_Maize (corn),"Crop_Mangoes, guavas and mangosteens",Crop_Oranges,"Crop_Other vegetables, fresh n.e.c.","Crop_Peas, dry","Crop_Peas, green",Crop_Pineapples,Crop_Potatoes,Crop_Rice,"Crop_Seed cotton, unginned",Crop_Sorghum,Crop_Sugar cane,Crop_Sunflower seed,Crop_Tomatoes,Crop_Wheat,Water_Availability,NDVI_Solar_Interaction,Prev_Year_Yield,Prev_Year_NDVI
2000,1163.1,0.5567137159609303,0.7962798533797795,0.5987420183952885,0.028135242497016932,0,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0376712706561011,0.6643286810090943,0.015035433694221962,0.253543407593801
2001,1325.9,0.5688841527705475,0.06709468843203226,0.6169979139612991,0.08655303316366347,1,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.09208454984934478,0.5124161407258674,0.005840098857640992,0.1361710215294476
2002,1435.4,0.5611583530386564,0.39153366876883666,1.0,0.043591815568343795,2,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.03902911936280595,0.5776655030990261,0.007321507542626899,0.15988746928641362
2003,1387.4,0.6096823855066509,0.6282964885519391,0.9919175171003829,0.024960855095886192,3,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.022044476458098927,0.6840222835379723,0.008317909575833022,0.14483225569067937
2004,1469.1,0.6053173918561865,0.6459106466619637,0.9572031919082313,0.0,4,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,0.6833053770583546,0.007881130602372804,0.23939070901382653
2005,1556.7,0.6231381736472046,0.808968725572786,0.85254420910276,0.08445229859883896,5,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.08189138670158069,0.7402375886644958,0.008624564813449882,0.2308846754597207
2006,1520.4,0.7280952569184374,0.37132405952841907,0.3515990110269058,0.5950176466738157,6,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5863580411919207,0.7520490143451615,0.00942168644001478,0.26561191220121394
2007,1671.1,0.7594678714918532,0.6284330912430107,0.2335556321822132,0.4425211835606506,7,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.44715279858868673,0.8470544971029637,0.009091372341335488,0.4701410692943009
2008,1624.5,0.5083888039239217,0.6491587550941453,0.32230398450510833,0.30023763851757845,8,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3066541441076812,0.5784417276461058,0.010462676326761629,0.5312766707660481
2009,1826.9,0.48683559467531623,0.7442645842345357,0.8801738284068108,0.21213013729666053,9,2000s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.19972927014751807,0.5760236361252784,0.010038636740027335,0.042000592841136
2010,1838.5,0.6429474582274111,0.0,0.4329153919331681,0.479723946611889,10,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.4720791094385537,0.5748656990802399,0.01188038807811792,0.0
2011,2028.8,0.5893972501471829,0.6067815647079371,0.632311834662481,0.10736276627345542,11,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.11112650252344725,0.6570428832850985,0.011985942996704139,0.30421413085601934
2012,2110.2,0.5586356182502437,0.8194719547086216,0.35738513948090755,0.34856334425866353,12,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3511085364640907,0.6716825107628823,0.01371758963523496,0.1998612031693323
2013,2444.6,0.6681989716082715,0.38650972535270256,0.12921701405447195,0.5828663635768623,13,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5878930411168777,0.6913782502461236,0.014458293977727913,0.13991621949986754
2014,2543.3,0.686072345470222,0.48650289521814827,0.19733241381333855,0.5885908337990444,14,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5893425881947358,0.73396123468072,0.017501187492834094,0.35342158390390477
2015,2794.1,0.6222958988961409,1.0,0.5726188467360664,0.4466433559392007,15,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.43345456568650387,0.7832572779957432,0.018399314257011672,0.3882513064577173
2016,2675.5,0.5718602973247049,0.6341628152296828,0.40827176706797985,0.6109978300381127,16,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5982227205318644,0.6441943538717916,0.020681484393341304,0.26397057710017524
2017,2736.1,0.5940098749588434,0.7315833010799224,0.4190956912173611,0.5622353628266901,17,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5512366871455878,0.6905432722422442,0.019602276346416685,0.16568706201590988
2018,2767.9,0.7555816814804626,0.3381068384824957,0.1994160069844355,0.4580293624541212,18,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.4638466438612747,0.7735930584366799,0.02015370980041021,0.20884979388957614
2019,2970.5,0.8456581883883705,0.5027358483406594,0.6361488741993959,0.6445705640390489,19,2010s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.6164341617805653,0.9101598776632458,0.020443075870327603,0.5237036786195413
2020,2995.4,1.0,0.1998876822317861,0.0,0.9999999999999998,20,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0,0.9999999999999996,0.022286647120807607,0.6992351573683759
2021,3110.7,0.7097923969505775,0.5463652300617028,0.13610607739130032,0.8046946194007683,21,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8011313997350116,0.7736633257027665,0.022513226213290095,1.0
2022,3052.6,0.5545494382802536,0.2995241672927662,0.26106052935983115,0.5132098317901932,22,2020s,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.5133873745246638,0.5497997175806533,0.023562405705789324,0.43447441007564525
