Year,Crop,Yield,NDVI,SolarRadiation,Temperature,Precipitation
2000,Avocados,8000.0,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Avocados,5753.1,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Avocados,5769.2,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Avocados,5854.7,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Avocados,5153.9,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,Avocados,7883.2,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,Avocados,7388.7,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,Avocados,6619.7,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Avocados,6404.6,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Avocados,6612.4,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Avocados,7945.0,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Avocados,8100.3,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Avocados,2867.9,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Avocados,1719.2,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Avocados,3891.7,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Avocados,4341.7,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Avocados,3643.5,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Avocados,4518.7,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Avocados,4291.4,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Avocados,4997.8,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Avocados,8020.7,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Avocados,7049.4,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Avocados,5908.3,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Avocados,5737.1,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,Bananas,6666.7,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Bananas,5753.8,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Bananas,5862.1,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Bananas,6022.4,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Bananas,6336.6,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
